UF,código do município,Município,descrição,data,Valor
AC,120040,Ac-Rio Branco,Desligamentos,2020-04-01,1473.0
AC,120040,Ac-Rio Branco,Saldos,2020-04-01,-58.0
AC,120040,Ac-Rio Branco,Variação Relativa (%),2020-04-01,-0.14
AC,120040,Ac-Rio Branco,Estoque,2020-05-01,57575.0
AC,120040,Ac-Rio Branco,Admissões,2020-05-01,1131.0
AC,120040,Ac-Rio Branco,Desligamentos,2020-05-01,1104.0
AC,120040,Ac-Rio Branco,Saldos,2020-05-01,27.0
AC,120040,Ac-Rio Branco,Variação Relativa (%),2020-05-01,0.04
AC,120040,Ac-Rio Branco,Estoque,2020-06-01,57446.0
AC,120040,Ac-Rio Branco,Admissões,2020-06-01,1057.0
AC,120040,Ac-Rio Branco,Desligamentos,2020-06-01,1186.0
AC,120040,Ac-Rio Branco,Saldos,2020-06-01,-129.0
AC,120040,Ac-Rio Branco,Variação Relativa (%),2020-06-01,-0.26
AC,120040,Ac-Rio Branco,Estoque,2020-07-01,57602.0
AC,120040,Ac-Rio Branco,Admissões,2020-07-01,1415.0
AC,120040,Ac-Rio Branco,Desligamentos,2020-07-01,1259.0
AC,120040,Ac-Rio Branco,Saldos,2020-07-01,156.0
AC,120040,Ac-Rio Branco,Variação Relativa (%),2020-07-01,0.26
AC,120040,Ac-Rio Branco,Estoque,2020-08-01,58091.0
AC,120040,Ac-Rio Branco,Admissões,2020-08-01,1748.0
AC,120040,Ac-Rio Branco,Desligamentos,2020-08-01,1259.0
AC,120040,Ac-Rio Branco,Saldos,2020-08-01,489.0
AC,120040,Ac-Rio Branco,Variação Relativa (%),2020-08-01,0.98
AC,120040,Ac-Rio Branco,Estoque,2020-09-01,58480.0
AC,120040,Ac-Rio Branco,Admissões,2020-09-01,1669.0
AC,120040,Ac-Rio Branco,Desligamentos,2020-09-01,1280.0
AC,120040,Ac-Rio Branco,Saldos,2020-09-01,389.0
AC,120040,Ac-Rio Branco,Variação Relativa (%),2020-09-01,0.75
AC,120040,Ac-Rio Branco,Estoque,2020-10-01,59129.0
AC,120040,Ac-Rio Branco,Admissões,2020-10-01,1933.0
AC,120040,Ac-Rio Branco,Desligamentos,2020-10-01,1284.0
AC,120040,Ac-Rio Branco,Saldos,2020-10-01,649.0
AC,120040,Ac-Rio Branco,Variação Relativa (%),2020-10-01,1.16
AC,120040,Ac-Rio Branco,Estoque,2020-11-01,59716.0
AC,120040,Ac-Rio Branco,Admissões,2020-11-01,1778.0
AC,120040,Ac-Rio Branco,Desligamentos,2020-11-01,1191.0
AC,120040,Ac-Rio Branco,Saldos,2020-11-01,587.0
AC,120040,Ac-Rio Branco,Variação Relativa (%),2020-11-01,1.12
AC,120040,Ac-Rio Branco,Estoque,2020-12-01,59634.0
AC,120040,Ac-Rio Branco,Admissões,2020-12-01,1297.0
AC,120040,Ac-Rio Branco,Desligamentos,2020-12-01,1379.0
AC,120040,Ac-Rio Branco,Saldos,2020-12-01,-82.0
AC,120040,Ac-Rio Branco,Variação Relativa (%),2020-12-01,-0.14
AC,120040,Ac-Rio Branco,Estoque,2021-01-01,59900.0
AC,120040,Ac-Rio Branco,Admissões,2021-01-01,1771.0
AC,120040,Ac-Rio Branco,Desligamentos,2021-01-01,1505.0
AC,120040,Ac-Rio Branco,Saldos,2021-01-01,266.0
AC,120040,Ac-Rio Branco,Variação Relativa (%),2021-01-01,0.44
AC,120040,Ac-Rio Branco,Estoque,2021-02-01,60453.0
AC,120040,Ac-Rio Branco,Admissões,2021-02-01,2147.0
AC,120040,Ac-Rio Branco,Desligamentos,2021-02-01,1594.0
AC,120040,Ac-Rio Branco,Saldos,2021-02-01,553.0
AC,120040,Ac-Rio Branco,Variação Relativa (%),2021-02-01,1.02
AC,120040,Ac-Rio Branco,Estoque,2021-03-01,60465.0
AC,120040,Ac-Rio Branco,Admissões,2021-03-01,1761.0
AC,120040,Ac-Rio Branco,Desligamentos,2021-03-01,1749.0
AC,120040,Ac-Rio Branco,Saldos,2021-03-01,12.0
AC,120040,Ac-Rio Branco,Variação Relativa (%),2021-03-01,0.02
AC,120040,Ac-Rio Branco,Estoque,2021-04-01,60689.0
AC,120040,Ac-Rio Branco,Admissões,2021-04-01,1912.0
AC,120040,Ac-Rio Branco,Desligamentos,2021-04-01,1688.0
AC,120040,Ac-Rio Branco,Saldos,2021-04-01,224.0
AC,120040,Ac-Rio Branco,Variação Relativa (%),2021-04-01,0.38
AC,120040,Ac-Rio Branco,Estoque,2021-05-01,61831.0
AC,120040,Ac-Rio Branco,Admissões,2021-05-01,2790.0
AC,120040,Ac-Rio Branco,Desligamentos,2021-05-01,1648.0
AC,120040,Ac-Rio Branco,Saldos,2021-05-01,1142.0
AC,120040,Ac-Rio Branco,Variação Relativa (%),2021-05-01,2.05
AC,120040,Ac-Rio Branco,Estoque,2021-06-01,62407.0
AC,120040,Ac-Rio Branco,Admissões,2021-06-01,2182.0
AC,120040,Ac-Rio Branco,Desligamentos,2021-06-01,1606.0
AC,120040,Ac-Rio Branco,Saldos,2021-06-01,576.0
AC,120040,Ac-Rio Branco,Variação Relativa (%),2021-06-01,0.95
AC,120040,Ac-Rio Branco,Estoque,2021-07-01,62738.0
AC,120040,Ac-Rio Branco,Admissões,2021-07-01,2342.0
AC,120040,Ac-Rio Branco,Desligamentos,2021-07-01,2011.0
AC,120040,Ac-Rio Branco,Saldos,2021-07-01,331.0
AC,120040,Ac-Rio Branco,Variação Relativa (%),2021-07-01,0.57
AC,120040,Ac-Rio Branco,Estoque,2021-08-01,62859.0
AC,120040,Ac-Rio Branco,Admissões,2021-08-01,2465.0
AC,120040,Ac-Rio Branco,Desligamentos,2021-08-01,2344.0
AC,120040,Ac-Rio Branco,Saldos,2021-08-01,121.0
AC,120040,Ac-Rio Branco,Variação Relativa (%),2021-08-01,0.19
AC,120040,Ac-Rio Branco,Estoque,2021-09-01,63483.0
AC,120040,Ac-Rio Branco,Admissões,2021-09-01,2735.0
AC,120040,Ac-Rio Branco,Desligamentos,2021-09-01,2111.0
AC,120040,Ac-Rio Branco,Saldos,2021-09-01,624.0
AC,120040,Ac-Rio Branco,Variação Relativa (%),2021-09-01,1.07
AC,120040,Ac-Rio Branco,Estoque,2021-10-01,64192.0
AC,120040,Ac-Rio Branco,Admissões,2021-10-01,2620.0
AC,120040,Ac-Rio Branco,Desligamentos,2021-10-01,1911.0
AC,120040,Ac-Rio Branco,Saldos,2021-10-01,709.0
AC,120040,Ac-Rio Branco,Variação Relativa (%),2021-10-01,1.06
AC,120040,Ac-Rio Branco,Estoque,2021-11-01,64950.0
AC,120040,Ac-Rio Branco,Admissões,2021-11-01,2621.0
AC,120040,Ac-Rio Branco,Desligamentos,2021-11-01,1863.0
AC,120040,Ac-Rio Branco,Saldos,2021-11-01,758.0
AC,120040,Ac-Rio Branco,Variação Relativa (%),2021-11-01,1.25
AC,120040,Ac-Rio Branco,Estoque,2021-12-01,64786.0
AC,120040,Ac-Rio Branco,Admissões,2021-12-01,1770.0
AC,120040,Ac-Rio Branco,Desligamentos,2021-12-01,1934.0
AC,120040,Ac-Rio Branco,Saldos,2021-12-01,-164.0
AC,120040,Ac-Rio Branco,Variação Relativa (%),2021-12-01,-0.3
AC,120040,Ac-Rio Branco,Estoque,2022-01-01,64932.0
AC,120040,Ac-Rio Branco,Admissões,2022-01-01,2437.0
AC,120040,Ac-Rio Branco,Desligamentos,2022-01-01,2291.0
AC,120040,Ac-Rio Branco,Saldos,2022-01-01,146.0
AC,120040,Ac-Rio Branco,Variação Relativa (%),2022-01-01,0.24
AC,120040,Ac-Rio Branco,Estoque,2022-02-01,65411.0
AC,120040,Ac-Rio Branco,Admissões,2022-02-01,2831.0
AC,120040,Ac-Rio Branco,Desligamentos,2022-02-01,2352.0
AC,120040,Ac-Rio Branco,Saldos,2022-02-01,479.0
AC,120040,Ac-Rio Branco,Variação Relativa (%),2022-02-01,0.8
AC,120040,Ac-Rio Branco,Estoque,2022-03-01,65880.0
AC,120040,Ac-Rio Branco,Admissões,2022-03-01,2884.0
AC,120040,Ac-Rio Branco,Desligamentos,2022-03-01,2415.0
AC,120040,Ac-Rio Branco,Saldos,2022-03-01,469.0
AC,120040,Ac-Rio Branco,Variação Relativa (%),2022-03-01,0.78
AC,120040,Ac-Rio Branco,Estoque,2022-04-01,66173.0
AC,120040,Ac-Rio Branco,Admissões,2022-04-01,2546.0
AC,120040,Ac-Rio Branco,Desligamentos,2022-04-01,2253.0
AC,120040,Ac-Rio Branco,Saldos,2022-04-01,293.0
AC,120040,Ac-Rio Branco,Variação Relativa (%),2022-04-01,0.48
AC,120040,Ac-Rio Branco,Estoque,2022-05-01,66804.0
AC,120040,Ac-Rio Branco,Admissões,2022-05-01,3295.0
AC,120040,Ac-Rio Branco,Desligamentos,2022-05-01,2664.0
AC,120040,Ac-Rio Branco,Saldos,2022-05-01,631.0
